2026-03-11 19:57:12 | INFO     | dataset_capture:197 |   human       : 2 images
2026-03-11 19:57:12 | INFO     | dataset_capture:197 |   apple       : 0 images
2026-03-11 19:57:12 | INFO     | dataset_capture:197 |   banana      : 0 images
2026-03-11 19:57:12 | INFO     | dataset_capture:197 |   orange      : 0 images
2026-03-11 19:57:12 | INFO     | dataset_capture:197 |   cat         : 8 images
2026-03-11 19:57:12 | INFO     | dataset_capture:197 |   dog         : 9 images
2026-03-11 19:57:12 | INFO     | dataset_capture:197 |   bottle      : 45 images
2026-03-11 19:57:12 | INFO     | dataset_capture:197 |   phone       : 0 images
2026-03-11 19:57:12 | INFO     | dataset_capture:197 |   keyboard    : 0 images
2026-03-11 19:57:12 | INFO     | dataset_capture:197 |   laptop      : 1 images
2026-03-11 19:57:12 | DEBUG    | camera:67 | Camera released.
2026-03-11 19:59:10 | INFO     | utils:52 | Using CPU.
2026-03-11 19:59:10 | WARNING  | dataset_loader:130 | Class 'human' has only 2 images (min=20).
2026-03-11 19:59:10 | WARNING  | dataset_loader:130 | Class 'apple' has only 0 images (min=20).
2026-03-11 19:59:10 | WARNING  | dataset_loader:130 | Class 'banana' has only 0 images (min=20).
2026-03-11 19:59:10 | WARNING  | dataset_loader:130 | Class 'orange' has only 0 images (min=20).
2026-03-11 19:59:10 | WARNING  | dataset_loader:130 | Class 'cat' has only 8 images (min=20).
2026-03-11 19:59:10 | WARNING  | dataset_loader:130 | Class 'dog' has only 9 images (min=20).
2026-03-11 19:59:10 | INFO     | dataset_loader:134 |   bottle      : 45 images ✓
2026-03-11 19:59:10 | WARNING  | dataset_loader:130 | Class 'phone' has only 0 images (min=20).
2026-03-11 19:59:10 | WARNING  | dataset_loader:130 | Class 'keyboard' has only 0 images (min=20).
2026-03-11 19:59:10 | WARNING  | dataset_loader:130 | Class 'laptop' has only 1 images (min=20).
2026-03-11 19:59:49 | INFO     | camera:41 | Opening camera index=0 @ 1280×720 30fps
2026-03-11 19:59:49 | INFO     | camera:59 | Camera opened: 1280×720 @ 30fps
2026-03-11 19:59:49 | INFO     | dataset_capture:67 | Existing image counts: human=2, apple=0, banana=0, orange=0, cat=8, dog=9, bottle=45, phone=0, keyboard=0, laptop=1
2026-03-11 19:59:49 | INFO     | dataset_capture:147 | Dataset capture started. Press S to capture, C to change class, Q to quit.
2026-03-11 20:00:10 | INFO     | dataset_capture:74 | Loading pretrained YOLOv8n for auto-labelling …
2026-03-11 20:00:10 | SUCCESS  | dataset_capture:76 | Auto-label model loaded.
2026-03-11 20:00:21 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00003.jpg
2026-03-11 20:00:22 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00004.jpg
2026-03-11 20:00:23 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00005.jpg
2026-03-11 20:00:23 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00006.jpg
2026-03-11 20:00:23 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00007.jpg
2026-03-11 20:00:24 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00008.jpg
2026-03-11 20:00:24 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00009.jpg
2026-03-11 20:00:24 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00010.jpg
2026-03-11 20:00:24 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00011.jpg
2026-03-11 20:00:25 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00012.jpg
2026-03-11 20:00:25 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00013.jpg
2026-03-11 20:00:25 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00014.jpg
2026-03-11 20:00:25 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00015.jpg
2026-03-11 20:00:26 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00016.jpg
2026-03-11 20:00:26 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00017.jpg
2026-03-11 20:00:26 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00018.jpg
2026-03-11 20:00:26 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00019.jpg
2026-03-11 20:00:27 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00020.jpg
2026-03-11 20:00:27 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00021.jpg
2026-03-11 20:00:27 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00022.jpg
2026-03-11 20:00:27 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00023.jpg
2026-03-11 20:00:27 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00024.jpg
2026-03-11 20:00:28 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00025.jpg
2026-03-11 20:00:28 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00026.jpg
2026-03-11 20:00:28 | SUCCESS  | dataset_capture:94 | Saved [human] → human_00027.jpg
2026-03-11 20:00:38 | SUCCESS  | dataset_capture:94 | Saved [cat] → cat_00009.jpg
2026-03-11 20:00:55 | SUCCESS  | dataset_capture:94 | Saved [cat] → cat_00010.jpg
2026-03-11 20:01:38 | INFO     | dataset_capture:175 | Class → apple
2026-03-11 20:01:42 | SUCCESS  | dataset_capture:94 | Saved [dog] → dog_00010.jpg
2026-03-11 20:01:57 | INFO     | dataset_capture:195 | Capture session complete — 93 total images.
2026-03-11 20:01:57 | INFO     | dataset_capture:197 |   human       : 27 images
2026-03-11 20:01:57 | INFO     | dataset_capture:197 |   apple       : 0 images
2026-03-11 20:01:57 | INFO     | dataset_capture:197 |   banana      : 0 images
